,Open Interest,Open Interest,OI_Combined,Date,Symbol,VWAP,Volume,Delivery,Close_Underlying,Change_in_OI,Change_in_VWAP
0,899250,25968500.0,26867750.0,2022-12-01,RELIANCE,2738.93,4377696,2538726,2723.3,,
1,908250,26278750.0,27187000.0,2022-12-02,RELIANCE,2725.02,5348595,2999370,2722.15,1.1742744694155296,-0.5104549691378358
2,984500,26800750.0,27785250.0,2022-12-05,RELIANCE,2694.53,6843367,4861671,2682.45,2.153120810501975,-1.1315516991831518
3,1025250,27841500.0,28866750.0,2022-12-06,RELIANCE,2685.66,3966243,2204998,2690.2,3.7465249811634496,-0.33027263317025785
4,1066000,28356250.0,29422250.0,2022-12-07,RELIANCE,2665.31,3905263,2425575,2650.5,1.8880269184035892,-0.7635134374613051
5,1134000,28758750.0,29892750.0,2022-12-08,RELIANCE,2651.78,3579858,2190085,2649.25,1.5739602411956075,-0.5102233216933435
6,1377500,29732000.0,31109500.0,2022-12-09,RELIANCE,2627.54,5840633,3927269,2609.1,3.9111846863498285,-0.922535908111779
7,1520500,30554250.0,32074750.0,2022-12-12,RELIANCE,2607.23,4374946,2439231,2613.1,3.009376534501438,-0.7789876612343347
8,1688750,31295500.0,32984250.0,2022-12-13,RELIANCE,2622.04,3845839,2171219,2625.0,2.75737662672336,0.564827386309894
9,1818000,31763750.0,33581750.0,2022-12-14,RELIANCE,2620.85,3354618,2135521,2615.5,1.7792402123177022,-0.04540511666062745
10,2011500,31844250.0,33855750.0,2022-12-15,RELIANCE,2590.74,4009765,2629878,2578.35,0.8093159950673076,-1.1622162007766172
11,2428500,32290500.0,34719000.0,2022-12-16,RELIANCE,2583.46,7308934,3995069,2565.6,2.4863907370603995,-0.28179263468370885
12,2708500,32318500.0,35027000.0,2022-12-19,RELIANCE,2582.95,3567363,1881722,2599.3,0.879321666143261,-0.019744865367127443
13,2844500,31968500.0,34813000.0,2022-12-20,RELIANCE,2594.8,3446291,1567590,2621.8,-0.614712894608336,0.45668259596116706
14,3382000,31312500.0,34694500.0,2022-12-21,RELIANCE,2601.19,3935463,1677915,2584.5,-0.3415526956722247,0.24565679554357325
15,4400500,30091750.0,34492250.0,2022-12-22,RELIANCE,2582.55,3438692,1490951,2577.8,-0.5863636034181592,-0.721767245551872
16,7226500,27747500.0,34974000.0,2022-12-23,RELIANCE,2540.02,4733657,2070781,2502.2,1.3774518213530051,-1.6743962645963495
17,11493250,22756500.0,34249750.0,2022-12-26,RELIANCE,2523.81,2764496,1225057,2524.05,-2.1146139752844912,-0.6422828976824736
18,17532750,16036500.0,33569250.0,2022-12-27,RELIANCE,2534.62,2659749,1246382,2544.7,-2.027152825874871,0.4264939123024337
19,23016250,10270500.0,33286750.0,2022-12-28,RELIANCE,2537.68,3442509,1908597,2544.45,-0.848686038739138,0.12058257936382623
20,32134000,1229000.0,33363000.0,2022-12-29,RELIANCE,2536.86,3198493,1608415,2543.3,0.22854659353175674,-0.03232342344471941
21,32195000,,32195000.0,2022-12-30,RELIANCE,2559.73,3364092,1557651,2547.2,-3.6278925298959463,0.8934536064350493
22,31804500,,31804500.0,2023-01-02,RELIANCE,2564.68,2453414,1251899,2575.9,-1.2278136741656054,0.19300653492832706
23,32576500,,32576500.0,2023-01-03,RELIANCE,2558.48,3534596,1876879,2557.05,2.369806455573803,-0.24233138425939693
24,33490000,,33490000.0,2023-01-04,RELIANCE,2529.71,4275746,2633647,2518.55,2.7276799044490896,-1.137284510872787
25,34392750,,34392750.0,2023-01-05,RELIANCE,2516.5,6293519,4398483,2514.05,2.624826453249595,-0.5249354261871662
26,33979000,,33979000.0,2023-01-06,RELIANCE,2534.9,2930338,1277644,2536.9,-1.217663851202213,0.7258668981024928
27,31792250,,31792250.0,2023-01-09,RELIANCE,2582.5,4948549,3120482,2596.8,-6.878248629776125,1.843175217812194
28,31544750,,31544750.0,2023-01-10,RELIANCE,2568.83,3713755,2057669,2558.4,-0.7845996560441912,-0.5321488771152654
29,32662000,,32662000.0,2023-01-11,RELIANCE,2533.89,5311657,3471261,2526.15,3.420641724327965,-1.3789075295296978
30,35251500,,35251500.0,2023-01-12,RELIANCE,2487.49,8163366,5251960,2471.6,7.345786704111881,-1.8653341319965144
31,35406000,,35406000.0,2023-01-13,RELIANCE,2454.77,9515473,6324627,2467.6,0.43636671750550754,-1.332915099988993
32,35596500,,35596500.0,2023-01-16,RELIANCE,2445.1,6287407,4495622,2444.1,0.5351649740845308,-0.3954848472455144
33,35197250,,35197250.0,2023-01-17,RELIANCE,2466.88,4961585,3003139,2478.8,-1.1343215734183778,0.8828966143468753
34,34901750,,34901750.0,2023-01-18,RELIANCE,2476.84,6206382,4205017,2474.7,-0.8466624166409994,0.40212528867427993
35,33030250,,33030250.0,2023-01-19,RELIANCE,2472.43,5510333,3731869,2472.05,-5.666018271130252,-0.17836703162477033
36,29571000,,29571000.0,2023-01-20,RELIANCE,2452.37,6890325,4017843,2442.65,-11.69811639782219,-0.8179842356577492
37,21798000,,21798000.0,2023-01-23,RELIANCE,2440.34,5055324,2919027,2430.3,-35.65923479218277,-0.4929640951670564
38,12248000,,12248000.0,2023-01-24,RELIANCE,2414.29,7609558,4390622,2415.95,-77.97191378184193,-1.0789921674695329
39,1902750,,1902750.0,2023-01-25,RELIANCE,2392.49,5715684,4112953,2382.55,-543.6999080278543,-0.9111845817537455
